BICYCLE THEFT,"April 2, 2016","400 N Ocean Blvd, Boca Raton, Florida"
BICYCLE THEFT,"April 8, 2016","1015 Spanish River Rd, Boca Raton, Florida"
BICYCLE THEFT,"April 9, 2016","3100 Airport Rd, Boca Raton, Florida"
BICYCLE THEFT,"April 17, 2016","728 W Camino Real, Boca Raton, Florida"
BICYCLE THEFT,"April 17, 2016","275 Nw 20Th St, Boca Raton, Florida"
BICYCLE THEFT,"April 18, 2016","2420 Ne 5Th Ave, Boca Raton, Florida"
BICYCLE THEFT,"April 21, 2016","400 Nw 2Nd Ave, Boca Raton, Florida"
BICYCLE THEFT,"April 22, 2016","1968 Ne 5Th Ave, Boca Raton, Florida"
BICYCLE THEFT,"April 23, 2016","260 Ne Spanish Trl, Boca Raton, Florida"
BICYCLE THEFT,"April 25, 2016","1001 Sw 2Nd Ave, Boca Raton, Florida"
BICYCLE THEFT,"April 25, 2016","1500 Nw 1St Ct, Boca Raton, Florida"
BICYCLE THEFT,"May 2, 2016","4501 Oak Cir, Boca Raton, Florida"
BICYCLE THEFT,"May 3, 2016","2499 N Federal Hwy, Boca Raton, Florida"
BICYCLE THEFT,"May 6, 2016","1001 S Federal Hwy, Boca Raton, Florida"
BICYCLE THEFT,"May 11, 2016","2600 Ne 26Th Ter, Boca Raton, Florida"
BICYCLE THEFT,"May 16, 2016","1501 Nw 10Th St, Boca Raton, Florida"
BICYCLE THEFT,"May 24, 2016","535 Ne 36Th St, Boca Raton, Florida"
BICYCLE THEFT,"May 29, 2016","680 W Yamato Rd, Boca Raton, Florida"
BICYCLE THEFT,"May 30, 2016","299 W Camino Real, Boca Raton, Florida"
BICYCLE THEFT,"June 1, 2016","606 Nw 13Th St, Boca Raton, Florida"
BICYCLE THEFT,"June 7, 2016","2869 Nw 24Th Way, Boca Raton, Florida"
BICYCLE THEFT,"June 7, 2016","1968 Ne 5Th Ave, Boca Raton, Florida"
BICYCLE THEFT,"July 1, 2016","899 Sw 3Rd Ave, Boca Raton, Florida"
BICYCLE THEFT,"July 8, 2016","800 Meadows Rd, Boca Raton, Florida"
BICYCLE THEFT,"July 8, 2016","488 Nw 13Th St, Boca Raton, Florida"
BICYCLE THEFT,"July 11, 2016","1600 N Federal Hwy, Boca Raton, Florida"
BICYCLE THEFT,"July 16, 2016","1001 S Federal Hwy, Boca Raton, Florida"
BICYCLE THEFT,"July 27, 2016","7431 N Federal Hwy, Boca Raton, Florida"
BICYCLE THEFT,"July 30, 2016","3900 N Ocean Blvd, Boca Raton, Florida"
BICYCLE THEFT,"August 5, 2016","798 Aurelia St, Boca Raton, Florida"
BICYCLE THEFT,"August 9, 2016","680 W Yamato Rd, Boca Raton, Florida"
BICYCLE THEFT,"August 13, 2016","1956 N Federal Hwy, Boca Raton, Florida"
BICYCLE THEFT,"September 11, 2016","6000 W Glades Rd, Boca Raton, Florida"
BICYCLE THEFT,"September 17, 2016","446 Nw 5Th Ave, Boca Raton, Florida"
BICYCLE THEFT,"September 25, 2016","1400 Nw 15Th Ct, Boca Raton, Florida"
