X,Y,DISTRICT,SITE_ID,PROJECT_NAME,PROJECT_ID,STATUS,PROJECT_MGR,OGC_NUMBER,ISDR_DATE,CONTAMINANTS,OFFSITECOC,ADDRESS,CITY,ZIP5,ZIP4,COUNTY_ID,DATUM_ID,METHOD_ID,FEATURE,OBJECT_OF_INTEREST,PROXIMITY_TO_OBJECT,LAT_DD,LAT_MM,LAT_SS,LONG_DD,LONG_MM,LONG_SS,GIS_ALBX,GIS_ALBY,COLLECT_USERNAME,COLLECT_AFFILIATION,COLLECT_PROGRAM_ID,COLLECT_DATE,MAP_SOURCE,MAP_SOURCE_SCALE,INTERPOLATION_SCALE,COORDINATE_ACCURACY_ID,VERIFY_METHOD_ID,VERIFIER_USERNAME,VERIFIER_AFFILIATION,VERIFYING_PROGRAM_ID,VERIFICATION_DATE,OBJECTID,DOCUMENTS
-81.400398867315374,28.606471135972825,CD,158527,1323 LEE ROAD PROPERTY,227802,CLOSED,MELTON_D,,1999-07-20T00:00:00.000Z,solvent,N,1323 LEE ROAD,ORLANDO,,,48,NAD83,DPHO,doq,CAP_RAP SITE,VICIN,28,36,23.2768,81,24,1.4247,653719.86,513821.78,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-09-12T10:00:45.000Z,2059,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_158527/gis-facility!search
-81.323103535856021,28.523012200909196,CD,187709,1639 BEL AIR AVENUE,250670,CLOSED,MELTON_D,,2001-08-09T00:00:00.000Z,,,1639 BEL AIR AVE,ORLANDO,,,48,NAD83,DPHO,Arsenic - soil,CAP_RAP SITE,VICIN,28,31,22.8247,81,19,23.1616,661464.05,504716.55,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-04-22T09:02:28.000Z,2702,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_187709/gis-facility!search
-81.096795471235865,28.545780740306224,CD,215146,208 WELLON AVENUE,268645,CLOSED,FURGUSSON_W,,2003-05-15T00:00:00.000Z,email request to Kim Duffek for further sampling and copies of sampling to date/map of well locations,,208 WELLON AVENUE,ORLANDO,32833,,48,HARN,DPHO,,CAP_RAP SITE,CENTR,28,32,44.7914,81,5,48.4528,683505.45,507744.88,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-04-22T09:43:10.000Z,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-04-22T09:43:10.000Z,2959,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_215146/gis-facility!search
-81.397048672515083,28.633743892890553,CD,221290,2600 MAITLAND CENTER,270192,CLOSED,FURGUSSON_W,,2003-09-24T00:00:00.000Z,,,2600 MAITLAND CENTER PARKWAY,MAITLAND,32751,,48,HARN,DPHO,loc of min oil spill,CAP_RAP SITE,CENTR,28,38,1.4587,81,23,49.364,653982.68,516856.92,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-04-22T09:36:54.000Z,1999 doqs,4999,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-04-22T09:36:54.000Z,2985,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_221290/gis-facility!search
-81.321854591849757,28.646761569149589,CD,25530,436 CLEANERS,254363,CLOSED,KRAUS_M,N,2001-08-15T00:00:00.000Z,solvents,N,1034 E SEMORAN BLVD,CASSELBERRY,,,59,NAD27,DPHO,at loc of pce in gw,CAP_RAP SITE,EXACT,28,38,47.3142,81,19,19.2631,661271.53,518428.48,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-11-04T09:43:14.000Z,2768,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_25530/gis-facility!search
-81.043516561547889,29.221095654272894,CD,20348,CAR MAN AKA STEVES TRANSMISSION,268800,CLOSED,KRAUS_M,,2002-04-22T00:00:00.000Z,"TRPH, dichloribenzene, lead",U,837 MASON AVE,DAYTONA BEACH,32117,,64,NAD83,DPHO,at loc of TRPH in gw,CAP_RAP SITE,EXACT,29,13,15.9245,81,2,36.6487,686909.23,582841.18,,,CL,2004-06-16T00:00:00.000Z,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-10-19T15:06:42.000Z,2963,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_20348/gis-facility!search
-81.331544980301004,28.44669848863105,CD,209690,CESSNA CITATION SERVICE CENTER,265389,CLOSED,KRAUS_M,,2003-01-22T00:00:00.000Z,"lead, TRPH",N,BEAR RD,ORLANDO,,,48,NAD83,DPHO,"location - lead,trph",CAP_RAP SITE,CENTR,28,26,48.0954,81,19,53.5508,660822.75,496225.83,,,CL,2003-01-31T00:00:00.000Z,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2006-02-20T14:02:21.000Z,2899,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_209690/gis-facility!search
-82.137660684352838,29.171872029187117,CD,197530,CHURCHILL CLEANERS,256873,CLOSED,KRAUS_M,,2001-10-11T00:00:00.000Z,solvents,N,303 SE 17TH ST,OCALA,,,42,NAD83,DPHO,PCE,CAP_RAP SITE,EXACT,29,10,18.7196,82,8,15.5664,580822.44,575301.02,,,CL,,1999 doqs,4999,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-17T07:01:21.000Z,2808,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_197530/gis-facility!search
-81.362283690244666,28.628555364192305,CD,209691,CITY OF MAITLAND MAINTENANCE YARD,265390,CLOSED,KRAUS_M,03-0558,2002-12-30T00:00:00.000Z,dieldrin,Y,231 N SWOOPE AV,MAITLAND,,,48,NAD83,DPHO,location of dieldrin plum,CAP_RAP SITE,EXACT,28,37,42.78,81,21,44.2101,657386.74,516352.69,,,CL,2003-01-31T00:00:00.000Z,1999 doqs,4999,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2005-08-17T07:28:49.000Z,2900,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_209691/gis-facility!search
-81.772496112791643,28.558512559044082,CD,155323,CLERMONT BOAT RAMP,223205,CLOSED,MELTON_D,,1999-04-21T00:00:00.000Z,DOQ - OK,,(SEE DIRECTIONS),CLERMONT,,,35,NAD83,UNVR,,CAP_RAP SITE,EXACT,28,33,30.626,81,46,20.9744,617503.85,507785.81,,,CL,,1999 doqs,5000,,4,DPHO,WOEBER_A,DEPARTMENT OF ENVIRONMENTAL PROTECTION,CL,2006-01-19T11:09:58.000Z,2027,http://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/COM_155323/gis-facility!search
