RANGES,STATUS,COUNTY,LOCAL_NAME,OBJECTID,SHAPELEN
R046 - R048.4,Critical,Sarasota,Siesta Key,1,807.25495706507
R064 - R077,Critical,Sarasota,Siesta Key,2,4015.93188275462
R081 - R100.3,Critical,Sarasota,Casey Key,3,6028.44896773999
R116 - R143,Critical,Sarasota,Venice,4,8154.55748215569
R160 - R183.8,Critical,Sarasota,Manasota Key,5,7119.23191954671
R002 - R041.3,Critical,Manatee,Anna Maria Island,6,12305.2914554945
R042 - R067,Critical,Manatee,Longboat Key,7,7776.23346580156
R006 - R012,Critical,Pinellas,Honeymoon Island,8,2132.92599271753
R017 - R020,Noncritical,Pinellas,Caladesi Island,9,927.526697528794
R047 - R049,Critical Inlet,Pinellas,Clearwater Beach Island,10,646.273067011176
R056 - R115.4,Critical,Pinellas,Sand Key,11,18333.8962250552
R126 - R143,Critical,Pinellas,Treasure Island,12,5552.20541643517
R144 - R166,Critical,Pinellas,Long Island,13,6425.06637061736
R168 - R176,Noncritical,Pinellas,South Bunces Key,14,2909.73657701733
R176 - R182,Critical,Pinellas,Mullet Key,15,1984.33916496909
R009 - R033,Critical,Nassau,Amelia Island,16,7138.28510333145
R061 - R080,Critical,Nassau,Amelia Island,17,6675.12390746111
 ,Critical Inlet,Nassau,Amelia Island St. Mary's Inlet,18,3237.48646270929
 ,Noncritical Inlet,Duval,Big Talbot Island,19,3164.63070273352
R021 - R023,Critical,Duval,Little Talbot Island,20,416.715264738886
R023 - A1A Bridge,Critical Inlet,Duval,Little Talbot Island,21,1310.78331116026
V501 - R080,Critical,Duval,All beaches south of the river,22,16121.7039440323
R193.5 - R196,Noncritical,St. Johns,Anastasia Island,23,801.801106189299
R197 - R209,Critical,St. Johns,Beaches south of Matanzas Inlet,24,4083.90838495017
R132 - R152,Critical,St. Johns,Conch/Anastasia Islands,25,6127.04069158892
R001 - R004,Critical,Flagler,Marineland,26,897.397434593541
R076 - R094.8,Critical,Flagler,Flagler Beach,27,5339.32798779339
R057 - R118,Critical,Volusia,"Ormond Beach, Daytona Beach,",28,17759.7287731411
R160.8 - R207.8,Critical,Volusia,"New Smyrna Beach, Bethume Beach",29,13558.598826905
R207.8 - R214,Noncritical,Volusia,Canavereal National Shoreline,30,1878.82841342008
 ,Critical Inlet,Volusia,Ponce de Leon Inlet North,31,740.943058185712
V320 - V365,Noncritical,Brevard,Canaveral National Shoreline,32,13667.6367800789
V417 - V436,Noncritical,Brevard,Canaveral National Shoreline,33,5830.71806382084
R001 - R202,Critical,Brevard,"Canaveral, Indiatlantic, Melbourne Beach",34,58890.8124800052
R204 - R227.9,Critical,Palm Beach,"Spanish River Park, Red Reef Park",35,7895.20261351286
R001 - R010,Critical,Palm Beach,"Tequesta, Jupiter Inlet Colony",36,2433.51094153554
R038 - R040,Noncritical,Palm Beach,Juno Beach,37,604.721163508414
R058 - R060.5,Noncritical,Palm Beach,John D. MacArthur State Park,38,780.882736264063
